Title,API Title,Authors,Publisher,Published Date,Description,Page Count,Print Type,Categories,Average Rating,Ratings Count,Language
Honey Bunny Funnybunny: An Early Reader Book for Kids (Beginner Books),Honey Bunny Funnybunny,['Marilyn Sadler'],Random House Books for Young Readers,1997-01-21,"A hopping good ""tail"" about the ups and downs siblings face! It's not easy being Honey Bunny Funnybunny—P.J. Funnybunny's little sister. Like most big brothers, P.J. loves to tease and play jokes on his little sister. Poor patient Honey Bunny puts up with almost everything. But the jokes stop short when P.J. paints the sleeping Honey Bunny's face bright green. Mr. and Mrs. Funnybunny are hopping mad...From now on, things are going to be different in the Funnybunny household! But does Honey Bunny really want something different? Beginner Books are fun, funny, and easy to read! Launched by Dr. Seuss in 1957 with the publication of The Cat in the Hat, this beloved early reader series motivates children to read on their own by using simple words with illustrations that give clues to their meaning. Featuring a combination of kid appeal, supportive vocabulary, and bright, cheerful art, Beginner Books will encourage a love of reading in children ages 3–7.",49.0,BOOK,['Juvenile Fiction'],,,en
Maybe You Should Fly a Jet! Maybe You Should Be a Vet! (Beginner Books),Maybe You Should Fly a Jet! Maybe You Should Be a Vet!,['Seuss'],HarperCollins Children's Books,2024-02-29,"Be amazed by the exciting - and extraordinary! - things you can do and people you can be in this witty whizz-through the world of work with Dr. Seuss! What will you do? What do you want to be when you grow up? A ticket taker... a pizza maker...? A wrestler, a writer or maybe a waiter? A whole host of silly and sensible options are on offer in this brilliant exploration of the world of work - all with a splash of Seussian humour! Newly updated with fresh artwork and a greater array of job options, Dr. Seuss inspires a new generation of readers to dream big and think even more imaginatively for their future! By combining the funniest stories, craziest creatures and zaniest pictures with his unique blend of rhyme, rhythm and repetition, Dr. Seuss makes reading fun!",0.0,BOOK,['Business & Economics'],,,en
Who Was George Washington Carver?,Who Was George Washington Carver?,"['Jim Gigliotti', 'Who HQ']",Penguin Workshop,2015-12-29,"George Washington Carver was a young boy from Missouri born into slavery. No one expected him to succeed because slaves were not allowed to be educated. After the Civil War, he enrolled in classes and was a star student. He became the first black student at Iowa State Agricultural College and later its first black professor. He went on to the Tuskegee Institute where he specialized in botany (the study of plants) and developed techniques to grow crops better. He was also an inventor who developed hundreds of household products and recipes using peanuts.",114.0,BOOK,['Juvenile Nonfiction'],,,en
The Wonky Donkey Sound Book,The Wonky Donkey,['Craig Smith'],,2015-10,,24.0,BOOK,[],,,en
What is Anger?: Workbook For Kids. Emotion Management for Parents and Teens. Over 60 Interesting and Funny Activities for Children. Positive ... (A Journey to Emotional Superpowers (US)),Anger Management Workbook for Kids and Teens,"['Anita Bohensky, PhD']",Growth Central LLC,2001,"Too much anger can be costly, both physically and emotionally. Most kids and teens can use their anger in appropriate ways in some situations, and yet be ineffective in others. The Anger Management Workbook for Kids and Teens reduces levels of anger, especially in provocative situations. Kids and Teens will learn effective coping behaviors to stop escalation and to resolve conflicts. Graduated homework assignments allow participants to apply their newly acquired skills. The Anger Management Workbook for Kids and Teens employs the three major anger control interventions by using model presentations, rehearsal, positive feedback and promoting. The Workbook is designed especially for adolescents and pre-adolescents.",114.0,BOOK,['Juvenile Nonfiction'],,,en
Tommy the Puppy: Sometimes Being Yourself Is All You Need,TOMMY TIPTOP AND HIS BASEBALL NINE,['RAYMOND STONE'],BEYOND BOOKS HUB,2023-06-19,,95.0,BOOK,['Fiction'],,,en
Nadia's True Colors (Unicorn Tales Book 4),,,,,,,,,,,
Jack and the Beanstalk (Keepsake Stories) (Volume 7),Jack and the Beanstalk,['Carol Ottolenghi'],Carson-Dellosa Publishing,2002-01-01,"After climbing to the top of a huge beanstalk, a boy uses his quick wits to outsmart a giant and gain a fortune for himself and his mother.",35.0,BOOK,['Juvenile Fiction'],,,en
"President of the Whole Fifth Grade (President Series, 1)",President of the Whole Fifth Grade,['Sherri Winston'],"Little, Brown Books for Young Readers",2010-10-05,"In this fun middle-grade novel from the author of The Kayla Chronicles, Brianna Justice has big dreams of following in her chef hero’s footsteps—and the first step is to become the president of her class. ​ Start counting your votes . . . and your friends. When Brianna Justice's hero, the famous celebrity chef Miss Delicious, speaks at her school and traces her own success back to being president of her fifth grade class, Brianna determines she must do the same. She just knows that becoming president of her class is the first step toward her own cupcake-baking empire! But when new student Jasmine Moon announces she is also running for president, Brianna learns that she may have more competition than she expected. Will Brianna be able to stick to her plan of working with her friends to win the election fairly? Or will she jump at the opportunity to steal votes from Jasmine by revealing an embarrassing secret? This hilarious, heartfelt novel will appeal to any reader with big dreams and the determination to achieve them.",155.0,BOOK,['Juvenile Fiction'],4.0,8.0,en
Leprechauns and Irish Folklore: A Nonfiction Companion to Magic Tree House Merlin Mission #15: Leprechaun in Late Winter,Leprechauns and Irish Folklore,"['Mary Pope Osborne', 'Natalie Pope Boyce']",Random House Books for Young Readers,2010-01-12,"The #1 bestselling chapter book series of all time celebrates 25 years with new covers and a new, easy-to-use numbering system! Getting the facts behind the fiction has never looked better. Track the facts with Jack and Annie! When Jack and Annie got back from their adventure in Magic Tree House Merlin Mission #15: Leprechaun in Late Winter, they had lots of questions. What are leprechauns? How do we know many of the old Irish stories? How do fairies spend their time? Who speaks the Irish language? Find out the answers to these questions and more as Jack and Annie track the facts. Filled with up-to-date information, photos, illustrations, and fun tidbits from Jack and Annie, the Magic Tree House Fact Trackers are the perfect way for kids to find out more about the topics they discovered in their favorite Magic Tree House adventures. And teachers can use Fact Trackers alongside their Magic Tree House fiction companions to meet common core text pairing needs. Did you know that there’s a Magic Tree House book for every kid? Magic Tree House: Adventures with Jack and Annie, perfect for readers who are just beginning chapter books Merlin Missions: More challenging adventures for the experienced reader Super Edition: A longer and more dangerous adventure Fact Trackers: Nonfiction companions to your favorite Magic Tree House adventures Have more fun with Jack and Annie at MagicTreeHouse.com!",130.0,BOOK,['Juvenile Nonfiction'],,,en
Black Heroes: A Black History Book for Kids: 51 Inspiring People from Ancient Africa to Modern-Day U.S.A. (History's Greatest Heroes),Black Heroes: A Black History Book for Kids,['Arlisha Norwood'],Rockridge Press,2021-09-07,"Meet extraordinary black heroes throughout history—biographies for kids ages 8 to 12 You’re invited to meet ancient Egyptian rulers, brilliant scientists, legendary musicians, and civil rights activists—all in the same book! Black Heroes introduces you to 51 black leaders and role models from both history and modern times. This black history book for kids features inspirational biographies of trailblazers from the United States, Egypt, Britain, and more. Discover where in the world they lived, and what their lives were like growing up. Learn about the obstacles they faced on the way to making groundbreaking accomplishments. You’ll find out how these inspirational figures created lasting change—and paved the way for future generations. Black Heroes: A Black History Book for Kids features: Fascinating biographies―Read about famous icons like Dr. Martin Luther King, Jr. and Harriet Tubman, as well as lesser-known pioneers like aviator Bessie Coleman and astronomer Benjamin Banneker. Ways to learn more―Every biography includes an idea for a new way to explore the person and their work, like a book to read, website to visit, or video to watch. Colorful portraits―Bring the historical heroes to life in your imagination with the help of full-color illustrations. Black Heroes goes beyond other black history biographies for kids to highlight people from around the world and across time. Who will your new hero be?",0.0,BOOK,['History'],,,en
"The Most Magnificent Thing (Most Magnificent, 1)",The Most Magnificent Thing,['Ashley Spires'],Kids Can Press Ltd,2014-04-01,"A little girl and her canine assistant set out to make the most magnificent thing. But after much hard work, the end result is not what the girl had in mind. Frustrated, she quits. Her assistant suggests a long walk, and as they walk, it slowly becomes clear what the girl needs to do to succeed. A charming story that will give kids the most magnificent thing: perspective!",37.0,BOOK,['Juvenile Fiction'],,,en
